date,open,high,low,close,volume,return,close_to_open,close_to_high,close_to_low,macd_line,macd_9_day,5d_momentum,21d_momentum,60d_momentum,5d_volatility,21d_volatility,60d_volatility,bollinger,volume_rolling
1986-03-14,0.097222,0.102431,0.097222,0.073673,308160000,1.0357223190687737,0.7577811606426529,0.7192451503939238,0.7577811606426529,0.0,0.0,,,,,,,,
1986-03-17,0.100694,0.103299,0.100694,0.074943,133171200,1.017238336975554,0.7442648022722307,0.7254958905700926,0.7442648022722307,2.8493589743577852e-05,1.5829772079765474e-05,,,,,,,,
1986-03-18,0.102431,0.103299,0.098958,0.073038,67766400,0.9745806813178016,0.713045855258662,0.7070542793250661,0.7380706966591888,-2.276744707516154e-05,1.123963922161706e-08,,,,,,,,
1986-03-19,0.099826,0.100694,0.097222,0.071768,47894400,0.9826117911224294,0.7189309398353134,0.7127336286173952,0.738186830141326,-9.137686548160717e-05,-3.0946790550761035e-05,,,,,,,,
1986-03-20,0.09809,0.09809,0.094618,0.069862,58435200,0.9734422026529929,0.7122234682434498,0.7122234682434498,0.7383584518801919,-0.0002025786106933658,-8.200337674263537e-05,,,,0.028165714438828836,,,,
1986-03-21,0.095486,0.097222,0.091146,0.067957,59990400,0.9727319572872235,0.7116959554280209,0.6989878834008764,0.7455840080749566,-0.00034707705131609146,-0.00015385308036324863,0.9224139101163249,,,0.018932778500778714,,,,
1986-03-24,0.092882,0.092882,0.08941,0.066052,65289600,0.9719675677266506,0.711138864365539,0.711138864365539,0.7387540543563359,-0.0005200667377531359,-0.00024653198735725566,0.8813631693420333,,,0.0043260620118139555,,,,
1986-03-25,0.090278,0.092014,0.08941,0.067322,32083200,1.019227275479925,0.7457187797691576,0.7316495315930185,0.7529582820713567,-0.0005672986942399788,-0.0003236182590404339,0.9217393685478792,,,0.020162485496984753,,,,
1986-03-26,0.092014,0.095486,0.091146,0.069227,22752000,1.0282968420427199,0.7523529028191362,0.7249963345411893,0.7595176968819256,-0.0004968602600435579,-0.00036363802073015447,0.9645942481328725,,,0.028148323960459493,,,,
1986-03-27,0.094618,0.096354,0.094618,0.070497,16848000,1.0183454432519106,0.7450696484812616,0.731645806090043,0.7450696484812616,-0.00037424750492603964,-0.00036601516106974513,1.0090893475709257,,,0.02744984962502422,,,,
1986-03-31,0.096354,0.096354,0.09375,0.069862,12873600,0.9909925245045887,0.7250555244203666,0.7250555244203666,0.7451946666666666,-0.0003142270563712829,-0.0003546842196756413,1.0280324322733492,,,0.023492960517749416,,,,
1986-04-01,0.095486,0.095486,0.094618,0.069227,11088000,0.9909106524290745,0.7249963345411893,0.7249963345411893,0.7316472552791223,-0.00030082923386533234,-0.0003431184273144835,1.0480681886998122,,,0.017423107074504153,,,,
1986-04-02,0.094618,0.097222,0.094618,0.069862,27014400,1.0091727216259552,0.7383584518801919,0.7185822139022031,0.7383584518801919,-0.0002510324347355236,-0.0003236298319373844,1.0377291227236265,,,0.01658782652383937,,,,
1986-04-03,0.096354,0.098958,0.096354,0.070497,23040000,1.0090893475709257,0.731645806090043,0.712393136482144,0.731645806090043,-0.00017369631120220386,-0.0002922636275318238,1.0183454432519106,,,0.012232457635163233,,,,
1986-04-04,0.096354,0.097222,0.096354,0.070497,26582400,1.0,0.731645806090043,0.7251136574026456,0.731645806090043,-0.00011315705421365008,-0.00025513600062844526,1.0,,,0.009089835725979864,,,,
1986-04-07,0.096354,0.097222,0.092882,0.069227,16560000,0.9819850490091776,0.7184652427506901,0.7120507704017609,0.7453220214896319,-0.00014282305936787199,-0.00023202283458906625,0.9909106524290745,,,0.011813898126053142,,,,
1986-04-08,0.094618,0.097222,0.094618,0.069862,10252800,1.0091727216259552,0.7383584518801919,0.7185822139022031,0.7383584518801919,-0.000124378410987655,-0.00020999799456209212,1.0091727216259552,,,0.011807684637866547,,,,
1986-04-09,0.095486,0.09809,0.095486,0.071132,12153600,1.0181786951418512,0.7449469032109419,0.7251707615455194,0.7449469032109419,-2.8652570372170172e-05,-0.0001730635580663503,1.0181786951418512,,,0.013728222372617015,,,,
1986-04-10,0.097222,0.098958,0.095486,0.071768,13881600,1.0089411235449586,0.738186830141326,0.7252369692192647,0.7516075655069853,8.606079739971462e-05,-0.00012048089087597015,1.0180291359916025,,,0.013713787535280804,,,,
1986-04-11,0.098958,0.101563,0.098958,0.073038,17222400,1.0176959090402409,0.7380706966591888,0.7191398442346131,0.7380706966591888,0.0002562214180674288,-4.426168143095747e-05,1.0360440869824248,,,0.014776777460032364,,,,
1986-04-14,0.099826,0.101563,0.099826,0.073673,12153600,1.0086941044387852,0.7380141446116243,0.7253921211464806,0.7380141446116243,0.00042663236784326597,5.079386105641326e-05,1.0642234966125934,,,0.004936081647285995,0.019658683425360163,,3.3968036944151544e-06,
1986-04-15,0.100694,0.100694,0.097222,0.073673,9302400,1.0,0.7316523328102965,0.7316523328102965,0.7577811606426529,0.0005534828602400677,0.00015207901340669305,1.054550399358736,1.0,,0.00752464066212469,0.018062530677713132,,3.3968036944151544e-06,0.03018691588785047
1986-04-16,0.100694,0.10503499999999999,0.099826,0.076213,31910400,1.0344766739511082,0.7568772717341649,0.7255962298281526,0.7634584176467053,0.0008178622317173284,0.00028602634254078603,1.0714305797671935,1.016946212454799,,0.013064180907192144,0.019231554739584485,,6.531870578924811e-06,0.23961937716262977
1986-04-17,0.10416700000000001,0.10503499999999999,0.10416700000000001,0.076848,22003200,1.0083319118785508,0.7377384392369943,0.7316418336744895,0.7377384392369943,0.0010572007196355815,0.0004409930274384674,1.070783636160963,1.0521646266327116,,0.013125406867780971,0.018303210048248576,,8.012384816184845e-06,0.3246918827029324
1986-04-18,0.10503499999999999,0.10503499999999999,0.100694,0.074308,21628800,0.9669477409952113,0.7074594182891418,0.7074594182891418,0.7379585675412635,0.0010543438845590503,0.0005641283911140059,1.0173882088775705,1.0353918180804815,,0.024279710649182763,0.019441605682298718,,4.615833651391958e-06,0.4515935057125676
1986-04-21,0.101563,0.102431,0.098958,0.074308,22924800,1.0,0.731644398058348,0.7254444455291855,0.7509044240991127,0.0010397639040220369,0.000659543869283487,1.008619168487777,1.0636397469296615,,0.024142682353975754,0.01833437322307349,,4.444876909858273e-06,0.39231148348940365
1986-04-22,0.101563,0.101563,0.099826,0.073038,15552000,0.9829089734618077,0.7191398442346131,0.7191398442346131,0.731653076352854,0.0009262339680449622,0.0007130111650244343,0.991380831512223,1.0747678679164767,,0.0256508150540821,0.017611723241916056,,2.228514654994919e-06,0.25924147863658187
1986-04-23,0.099826,0.100694,0.098958,0.07335499999999999,15609600,1.004340206467866,0.7348286017670747,0.7284942499056546,0.7412740758705713,0.0008495825779359922,0.0007403783835059993,0.9624998359859864,1.1105644038030642,,0.01726264382249952,0.01605351213058013,,1.979261252058141e-06,0.23908248786943095
1986-04-24,0.10026,0.111979,0.099826,0.08065900000000001,62352000,1.0995705814191263,0.8044983044085379,0.7203046999883908,0.807995912888426,0.0013064168206251836,0.0008537615228397876,1.0495914012075787,1.198107602269689,,0.051815789649760156,0.026045518879016613,,1.2264639899856335e-05,1.9434470377019748
1986-04-25,0.11111099999999999,0.12196199999999999,0.11111099999999999,0.08574,85795200,1.0629935902999044,0.7716607716607717,0.7030058542824815,0.7716607716607717,0.0020169204279767705,0.0010866816450123768,1.1538461538461537,1.238534097967556,,0.04925602911544016,0.028333839371962564,,2.551835831791374e-05,3.770886075949367
1986-04-28,0.11718800000000001,0.118924,0.116319,0.086375,28886400,1.0074061114998833,0.7370635218623066,0.7263041942753354,0.742570001461498,0.0025949186614502295,0.0013886280815667716,1.1623916671152499,1.225229442387619,,0.048230416368539426,0.02828497281490907,,3.058824101097623e-05,1.7145299145299144
1986-04-29,0.118056,0.118056,0.11371500000000001,0.083835,30326400,0.9705933429811868,0.7101290912787153,0.7101290912787153,0.7372378314206569,0.002829545829828195,0.001677040134789294,1.1478271584654562,1.2000085883599096,,0.05153035104527337,0.029305368508874267,,2.4302053257033954e-05,2.3557046979865772
1986-04-30,0.11458299999999999,0.115451,0.109375,0.081929,30902400,0.977264865509632,0.7150188073274396,0.7096430520307316,0.7490651428571429,0.002839104745756854,0.001909600459600474,1.1168836480130873,1.1834833229809179,,0.05599613985839327,0.029874948567628817,,1.7936524422840114e-05,2.787012987012987
1986-05-01,0.111979,0.111979,0.10850699999999999,0.08065900000000001,54345600,0.9844987733281256,0.7203046999883908,0.7203046999883908,0.7433529634032828,0.0027192539848799185,0.002071613314933686,1.0,1.1545475365720994,,0.03756144596243696,0.030327492817181386,,1.310292974430091e-05,2.011727078891258
1986-05-02,0.11024300000000001,0.111979,0.109375,0.08065900000000001,20246400,1.0,0.7316473608301661,0.7203046999883908,0.7374537142857144,0.0025941846257049456,0.002176169990314275,0.9407394448332168,1.144147977928139,,0.015419787189643827,0.030365365560702573,,1.172622804365302e-05,0.87875
1986-05-05,0.11024300000000001,0.11024300000000001,0.109375,0.080024,3254400,0.9921273509465774,0.7258873579274874,0.7258873579274874,0.731648,0.0024187311795775407,0.002224697976398784,0.9264717800289436,1.1351405024327275,,0.01165526972226333,0.030502543986588426,,8.663409161130814e-06,0.12242686890574214
1986-05-06,0.11024300000000001,0.111979,0.11024300000000001,0.08065900000000001,9734400,1.0079351194641608,0.7316473608301661,0.7203046999883908,0.7316473608301661,0.0023015994372864307,0.0022400822625653505,0.9621160613109083,1.1651378797290077,,0.012151850740065872,0.029981689104572783,,8.509253764465524e-06,0.5878260869565217
1986-05-07,0.11024300000000001,0.11111099999999999,0.10850699999999999,0.08065900000000001,5155200,1.0,0.7316473608301661,0.7259317259317261,0.7433529634032828,0.002183487869163142,0.0022287610325574287,0.9844987733281256,1.1545475365720994,,0.00891013065818378,0.030026220334456115,,6.872429324751e-06,0.5028089887640449
1986-05-08,0.11024300000000001,0.11111099999999999,0.109375,0.081294,3542400,1.0078726490534224,0.7374073637328447,0.7316467316467318,0.7432594285714286,0.002114311495042001,0.0022058673211840826,1.0078726490534224,1.142861159534387,,0.006601706274994298,0.02992324731905311,,6.929050773967105e-06,0.2914691943127962
